Title,Director,Cast,Genre,"Notes
Cinematographer"
Magic Valley a.k.a. Maya Mahal,Nanubhai Desai,"Zebunisa, Janibabu",Fantasy,"Sharda Film Company
DOP: Naval Bhat"
Malhari Martand,Ganpat Shinde,"Bhaurao Datar, Kashibai Pathak, Joshi, Shelar",,"Hindustan Cinema Film Co., Nasik
DOP: Telang"
Maya Mohini,Keshavlal Joshi,"Gulab, Gangaram, Durga, Nizam",Fantasy,"Gujarat Film Company
DOP: Gordhanbhai Patel"
Naag Padmini,N. G. Deware,"Fatma Begum, Raja Sandow, Yakbal, Thomas, Jumna, Nargis",Devotional,"Kohinoor Film Company
DOP: N. G. Deware"
Nara Kesari a.k.a. Lion Of Maharashtra,K. P. Bhave,"Udwadia, Nalini, Dwarkee, V. B. Jagtap",Historical,"Jagtap Film Company
DOP: V. B. Jagtap"
Neelam Manek a.k.a The Blue Jewel,Kanjibhai Rathod,"Gulab, Rampyari, Asha, Keshavlal, Durga, Chandra, Gangaram",Social,"Krishna Film Company
DOP: Gordhanbhai Patel"
Nishiddha Phal a..k.a. Forbidden Fruit,Kali Prasad Ghose,"Kali Prasad Ghose, Renubala, Bhanu Bannerjee Sr., Nimai, Nivanani Devi, Prafulla, Renubala, Bhanu Bannerjee Sr., Nimai, Nivanani Devi, Prafulla, Atul Gangopadhyay, Narendranath Singa, Sukriti Devi",Social,"Indian Kinema Arts, Calcutta
DOP: Noni Gopal Sanyal"
Padmalata a.k.a. Lily In The Mud,D. A. Dandekar,"Nandram, Lila, P. R. Joshi, Salma Nizam, Gangaram",Costume,"Gujrat Studios
DOP: Gordhanbhai Patel"
Pataal Padmini a.k.a. The Beauty From Hell,Harshadrai Mehta,"Zebunisa, Nandram, Jani Babu, Joshi, Nirasha",Fantasy,"Sharda Film Company
DOP: Chimanlal Luhar"
Patel Ketu,K. P. Bhave,"Tara, Keshav Narayan Kale, Rustom Irani, Sakhu, Jamshedji",,Imperial Film Company
Pauper Princess,"Ramakant, Gharekhan","Mohini, Jai Kishan Nanda, Mary, Roy, Baba Vyas",Costume,"Jagdish Film Co.
DOP: G. G. Gogate"
Parshuram,Dasaheb Phalke,,Mythology,Hindustan Cinema Film Company
Prisoners Of Love a.k.a. Raj Tarang,Harshadrai Mehta,"Master Vithal, Zebunisa, Prabhashankar, Alibux, Lobo",Costume,"Sharda Film Company
DOP: Chimanlal Luhar"
Puran Bhagat,Pesi Karani,"Ermeline, Rustom, Sakhu, Jilloobai, Khansaheb, Gohar Jr. Jamhedji",Devotional,"Imperial Film Company
DOP: Rustom Irani"
Raj Kumar a.k.a Raj Kunwar,,Krishnabai,,"New India Film Company, Nasik"
Ram Rajya Viyoga,,,Religious,"Hindustan Cinema Film Company, Nasik"
Roop Basant a.k.a Madan Mohana a.k.a. Beautiful Woman,Haribhai Desai,"Master Bachu, Miss Mohna, Baburao Gade, Wmanrao, D. N. Potdar, Gangoobai, Jairam, Fayma",Costume,Suvarna Pictures D. B. Chauhan
Rukmani Haran',,,Mythology,"Hindustan Cinema Film Company, Nasik"
Sainted Devil a.k.a. Ek Abla,Bhagwati Prasad Mishra,"Ermeline, Asoobhai, Putli, Misra, Jillo Bai, J. Rustom Irani, Ghory, Bhagwati Mishra, Yusuf",Social,Imperial Film Co.
Sarla a.k.a Sarala,"Amritlal Bose, Priyanath Ganguly","Seeta Devi, Durgadas Bandyopadhyay, Rani Sundari, Naresh Mitra, Chittaranjan Goswami, Sailen Chowdhury, Manorama, Prabodh Bose",Social,"Madan Theatres Ltd.
DOP: Jatin Das"
Sassi Punnu a.k.a. Sassi Punhu,Harshad Rai Mehta,"Master Vithal, Zebunisa, Mani, A. P. Kapoor, Lobo","Legend, Romance","Sharda Film Co.
DOP: Chimanlal Luhar"
Sati Pingala,G. V. Sane,"Bhaurao Datar, Gangubai Mohite",Devotional,"Hindustan Cinema Film Company, Nasik"
Second Wife a.k.a. Punarlagna Ni Patni,Nagendra Mazumdar,"Mehtab, Yusuf, Salvi, Gangu",Social,Kaiser-E-Hind Film Co.
Shamsher Pratigna,"R. N. Vaidya, Jamnadas Subedar","Kumudini, R. N. Vaidya, Baba Vyas, Ghanshyam",Costume,Shree Jagdish Film Co. D. D. Dabke
Shasti Ki Shanti,Jyotish Banerjee,"Nath Ghosh, Ahindra Chowdhary, Tara Sundari, Durgadas Bannerjee, Danibabu, Jainarayan Mukherjee, Tarasundari, Prabavathi, Prabavathi, Kartik Dey, Kantibhusan Bandyopadhyay Tulsi Banerji",Social,Madan Theatres Ltd.
Shree Dwarkadheesh a.k.a. Shri Dwarkadhish,"Ramakant Rangnath, Gharekhan","Pramoth Bose, Kadambari, Ghanshyam, Baba Vyas, Roy",Devotional,Shree Jagdish Film Co.
Shree Krishna Shishtai,Dadasaheb Phalke,,Religious,"Hindustan Cinema Film Company, Nasik"
Silver Cloud a.k.a. Varachat Vidhwa,Maneklal Joshi,"Rampyari, Salvi, Kumudini",Social,"Excelsior Film Co.
DOP: Ambadas Pawar"
Sneh Jyoti a.k.a. Love Flame,"Raja Sandow, R. N. Vaidya","Putli, Raja Sandow, Shanta Kumari, Baba Vyas, Dabir, Ghanshyam, R. N. Vaidya",,"Shree Jagdish Film Co
DOP: Pandurang S. Naik"
Soni Mahiwal,Anand Prasad Kapoor,"Master Vithal, Zebunisa, Mani, Himmat","Legend, Romance","Sharda Film Co.
DOP: Chimanlal Luhar"
Sudarshan,Dadasaheb Phalke,,Religious,"Hindustan Cinema Film Company, Nasik"
The Love Flame,Nanubhai Vakil,"Shanta Kumari, Putli, Raja Sandow",Social,Jagdish Film Co.
Traitor a.k.a. Namak Haram,N. D. Sarpotdar,"Meera, P. N. Varne, Durgabai Korgaonkar, Dattoba Rajwade, Jadhav",Historical,Aryan Film Co.
Udan Tappu a.k.a. Vagabond,N. D. Sarpotdar,"Dattoba Rajwade, Durgabai Korgaonkar, Krishnaji Ghanekar, P. N. Varne, Hansa, Jadhavrao, Das",Social,"Aryan Film Co.
DOP: Y. D. Sarpotdar"
Up-To-Date a.k.a. Akalna Bardan,Prafulla Ghosh,"Gulab, Noor Mohammad Charlie, Wadilal, Sandow, Jehangir",Social,"Krishna Film Company
DOP: Chaturbhai Patel, Gordhanbhai Patel"
Vasant Leela a.k.a. Sons Of The Rich,N. G. Deware (Narayan Deware),"Shakuntala Tembe, Fram Sethna, Jal Balsara, Noor Mohammed Charlie, Raja Babu, Panna, Siraj, Fatma Jr.",Social,"Artistic Pictures (JBH Wadia)
DOP: Gajanan S. Devare"
Vasavdatta,Nagendra Mazumdar,"Putli, Jani Babu, Athavle",Historical,Kaiser-E-Hind Film Co.
Veer Ramani,,,Costume,Alexandra Film Company
Veerangana,Homi Master,"Khalil, Yakbal, Shivabai, Heera",Costume,"Kohinoor Film Company
DOP: K. G. Gokhale"
Vengeance a.k.a Raj Rang,Bhagwati Prasad Mishra,"Sulochana, Jillo Bai, D. Bilimoria, Elizer, Jamshedji",Social,"Imperial Film Co.
DOP: Rustom Irani"
Vigathakumaram a.k.a. The Lost Child,J. C. Daniel,J. C. Daniel,Social,First Malayalam feature film. J. C. Daniel
Vile Woman a.k.a. Kal Ratri Nu Khooni Khanjar,K. Rathor,"Rampyari, Haider Shah, Gulab, Nandram, Vishnu",Costume,"Krishna Film Co.
DOP: Chaturbhai Patel"
Vishwamohini a.k.a. The Enchantress,Chandulal Shah,"Gohar, Meena Devi, Raja Sandow, Vaidya, E. Bilimoria",Social,"Shree Jagdish Film Co.
DOP: Pandurang S. Naik"
Wife And The Vampire a.k.a. Prem Ane Vaasna a.k.a. Sansar Nauka,Lalitarai Vyas,,,"British India Film Co., Saurashtra Film Co., Rajkot"
Wine Of Youth a.k.a. Saundarya Sura,Harshad Rai Mehta,"Master Vithal, Mani, A. P. Kapoor, Lobo",Social,"Sharda Film Co.
DOP: Chimanlal Luhar"
Wise Fool a.k.a. Madan Manjari,Pesi Karani,"Ermeline, Jamshedji, Dinkar, Tara, Asooji, Khan",Costume,Imperial Film Co.
