Title,Director,Cast,Genre,"Notes
Cinematographer"
Master Stroke a.k.a. Mardna Gha,Kanjibhai Rathod,"Haider Shah, Nandram, Gulab, Chandra, Gangaram, Sakina",Social,"Krishna Film Company
DOP: Chaturbhai Patel"
Mohabbat Ke Musibat a.k.a. Love And Romance,M. M. Vaidya,,,"Saurashtra Film Co., Rajkot"
Mohana Rani a.k.a. Rani Mohana a.k.a. Chhelbatao,Dinshaw Jhaveri,"Madanrai Vakil, Jilloobai, Putli",,Royal Art Studio
Muraliwala,Baburao Painter,"V. Shantaram, Madhusudan, Sushila Devi, Lalya Gokhale, Bal Gangar",Religious,"Maharashtra Film Company, Kolhapur
DOP: S. Fattelal"
Nala Damayanti,Dadasaheb Phalke,"Bachchuram, Bhaurao Datar, Gangubai Mohite, Khirsagar Salanki, Gotiram",Mythology,"Hindustan Cinema Film Co., Nasik
DOP: Telang"
Nanand Bhojai a.k.a. The Victim Of Society,Manilal Joshi,"Zubeida, Thatte, Miss Mani, S. Nazir, Nargis, Gangaram, Takle, Rani, Udwadia",Social,"Excelsior Film Company
DOP: D. D. Dabke"
Naqli Rani a.k.a. Sham Queen,Harshadrai Mehta,"Zebunisa, Prabhashankar, Harihar Diwana, Gangaram, Miss Mary, Janibabu",Costume,"Sharda Film Company
DOP: Naval Bhatt"
Nari Ki Nagan a.k.a. Soul Of A Snake,K. P. Bhave,"Madanrai Vakil, Tara, Baburao Sansare, Dinkar, Jilloobai, Dhanji",Fantasy,"Imperial Film Company
DOP: Rustom Irani"
Netaji Palkar a.k.a. Beloved Leader Palkar,"Keshavrao Dhaiber, V. Shantaram","Balasaheb Yadav, Vasantrao Deshpande, Sushila Devi, Zunzharrao Pawar, Anasuya, Ganpat Bakre, Mane, Gulabbai",Historical,"Maharashtra Film Company, Kolhapur
DOP: S. Fattelal"
Pandav Rajasuya Yagam,,,Mythology,Exhibitors Film Service
Parsa Eblis a.k.a. Pavitra Satan,Manilal Joshi,"Nargis, Athavale",Social,"Excelsior Film Company
DOP: D. D. Dabke"
Pita Pooja,,,,Madan Theatres Ltd.
Prem Ni Pratima a.k.a. Lovers,Manilal Joshi,Blanche Verne,,"Excelsior Film Company
DOP: D. D. Dabke"
Princess Laila,Rama Choudhary,"Blanche Verne, Elizer, Madanrai Vakil, Jilloobai, La Tosca, Miss Helen",Costume,La Tosca Productions
Punarjanma a.k.a. Incarnation,Jaygopal Pillai,"Atul Sen, Funniman, Kedar Chatterjee, Premankur Atorthy, Indira Devi, Artidevi, Bhanu Bannerjee Sr.",Costume,"Indian Kinema Arts, Calcutta
DOP: Nitin Bose"
Raghunathrao and Sarayubala,Madanrai Vakil,"Jilloobai, P. R. Joshi","Historical, Romance","Royal Art Studio
DOP: Rustom Irani"
Reshmi Sari a.k.a. Follies Of The Rich,Nanubhai Desai,"Jani Babu, A. P. Kapoor, Mani, Mary",Social,"Sharda Film Company
DOP: Bhogilal Dave"
Roop Sundari a.k.a. Ideal Womanhood a.k.a. Adarsha Veerangana,Harshadrai Mehta,"Nandram, Gulb, Durga, Chanda",Social,"Krishna Film Company
DOP: Chimanlal Luhar"
Rukamangada Mohini,Dadsaheb Phalke,"Ganpat Shinde, Gangubai Mohite",Devotional,"Hindustan Cinema Film Co., Nasik"
Sansar a.k.a. A Phase Of Life,V. K. Pattani,,Social,"Saurashtra Film Co.
DOP: Rajkot Champaklal Pattani"
Sati Madri a.k.a. Pious Madri,"Narayan Deware, Chandulal Shah","Raja Sandow, Gohar",Devotional,"Kohinoor Film Company
DOP: Pandurang S. Naik"
Sati Savitri a.k.a. Ideal Wife,Baburao Painter,"V. Shantaram, Sushila Devi, Zunzharrao Pawar, Nimbalkar, Balasaheb Yadav, Gulabbai",Social,"Maharashtra Film Company, Kolhapur
DOP: S. Fattelal"
''Sati Savitri a.k.a. Savitri Satyavan a.k.a. Ideal Wife,Pandurang Talegiri,"Gangubai, Wamanrao Kulkarni, Baburao Gade, Pandurang Varne",Mythology,"United Pictures Syndicate
DOP: Y. D. Sarpotdar"
Satsang,,,,Aurora Film Company
Savaliya Tandel,,,,South Indian Film Company of Sholapur
Shankaracharya a.k.a Renaissance Of Hinduism,Kali Prasad Ghose (K. P. Ghose),"Jiban Gangopadhyay, Dhirendranath Ganguly, Leela Mukherjee, Nirmalendu Lahiri, Kartik Dey, Ahi Sanyal, Manmatha Pal",Devotional,"Indian Kinema Arts, Calcutta
DOP: Noni Gopal Sanyal, P. Sanyal"
Sharad Purnima a.k.a. A Full Moon Night In Spring,Harshadrai Mehta,"Gulab, Nandram, Keshavlal, Gangaram",Social,"Krishna Film Company
DOP: Chimanlal Luhar"
Sheel Prabhav a.k.a. Glory Of Virtue,Vishnupant Aundhkar,,,United Pictures Syndicate
Shiraz-Ud-Dowla a.k.a. By Sheer Valour,Dhanjibhai K. Desai,"Master Vithal, Zebunisa, Tara, Asha, Kumudini, Miss Dwarki, Gangaram","Costume, Historical","Ideal Pictures Corp., Sharda Film Company
DOP: Bhogilal Dave"
Shri Krishna Nardi,K. P. Bhave,"Jamshedji Khansaheb, Putli, Jilloobai",Religious,Imperial Film Company
Shrimati Nalini a.k.a. Mrs. Nalini,Manilal Joshi,"Nargis, Yakbal, Takle",Social,"Excelsior Film Company
DOP: D. D. Dabke"
Sindh Ni Sumari a.k.a. Sumari Of Sind,Chandulal Shah,"Gohar, Raja Sandow, Noor Mohammed Charlie, Yakbal, Leena",Costume,"Kohinoor Film Company
DOP: Pandurang S. Naik, Narayan Deware"
Swadesh Seva a.k.a. My Country,Harshadrai Mehta,"Master Vithal, Lobo",Historical,Sharda Film Company
Tainted Virtue a.k.a. Karmaili Kali,Rama S. Choudhury,"Ermeline, Madanrai Vakil",Social,"Imperial Film Company
DOP: Rustom Irani"
The Dancing Girl a.k.a. Gutter Nu Gulab,Bhagwati Prasad Mishra,"Sulochana (Ruby Myers), Madanrai Vakil, Elizer, Putli, Jamshedji, K. P. Bhave, Sakhu",Social,"Imperial Film Company
DOP: Rustom Irani"
The Mission Girl a.k.a. Christian Kumari,Homi Master,"Raja Sandow, Sulochana (Ruby Myrs), Heera, Khalil, Miss Mani",Social,"Kohinoor Film Company
DOP: Pandurang S. Naik"
Thoratanchi Kamla a.k.a. Kamla Of The Thorats,N. D. Sarpotdar,"Gangubai, Wamanrao Kulkarni, Pandurang Varne, Dattoba Rajwade, Baburao Shinde, Bandopant Sohoni",Historical,"United Pictures Syndicate
DOP: Pandurang Talegiri"
Trust Your Wife a.k.a. Anun Naam Te Bairi,Mohan Dayaram Bhavnani,"Miss Mohini, Jamshedji, Jilloobai",Social,"Imperial Film Company
DOP: Rustom Irani"
Vadia Dhor a.k.a. Unpractical,Harshadrai Mehta,,Social,"Krishna Film Company
DOP: Chimanlal Luhar"
Vande Mataram Ashram,Bhalji Pendharkar,"Yamunadevi, Parshwanath Yeshwant Altekar, Baburao Pendharkar",Social,"Vande Mataram Film Company
DOP: D. D. Dabke"
Veer Garjana a.k.a. Rewards Of Blind Passion,Nanubhai Desai,"Master Vithal, Prabhashankar, Kumudini","Action, Costume","Sharda Film Company
DOP: Naval Bhat"
Vilasi Kanta a.k.a. Flirting Wife,,"Aundhkar, Wamanrao Kulkarni, Durga, Hansa, Yamuna Gole, Phatak",Social,Social Pictures Corporation
Wildcat of Bombay a.k.a. Mumbai Ni Biladi,Mohan Dayaram Bhavnani,"Jamshedji Khansaheb, Sulochana (Ruby Myers), D. Billimoria",Social,Imperial Film Company
Why Sons Go Astray a.k.a. Surat No Sahukar,Homi Master,"Sushila, R. N. Vaidya, Khalil, Noor Mohammed Charlie",Social,"Kohinoor Film Company
DOP: Narayan Deware"
