Title,Director,Cast,Genre,Music,,,,
Rami Dhobhan,Indu Kumar,"Nirupa Roy, P. Jairaj, Trilok Kapoor, Ranjana, Ullhas, Sapru",Devotional,Music: Hiren Bose Lyrics: Ram Murti,,,,
Rangila,Bhagwan,"Bhagwan, Purnima, Nazira Baburao, Indira, Badri Prasad, Vivek, Inamdar",Action,"Music: Jamal Sen Lyrics: S. H. Bihari, Ehsan Rizvi",,,,
Shagufa,H. S. Rawail,"Premnath, Bina Rai, Purnima, Yashodhara Katju, Rajendranath, Naaz, Bipin Gupta, Gopi Krishna, Sunder","Social, Drama",Music: C. Ramchandra Lyrics: Rajendra Krishan,,,,
Shahenshah,Amiya Chakravarty,"Kamini Kaushal, Ranjan, Shakila, K. N. Singh, Achala Sachdev, Agha, Mukri, Cuckoo","Costume, Action",Music: S. D. Burman Lyrics: Sahir Ludhianvi,,,,
Shamsheer,Gyan Mukerjee,"Ashok Kumar, P. Bhanumati, Bhagwan, Mehmood, Smriti Biswas, Vasantro Pahelwan, Vishwas Kunte, Nana Palsikar","Action, Drama","Music: Arun Kumar, Anupam Ghatak Lyrics: Vrajendra Gaur, Madhur, Nazish Sikandarpuri",,,,
Shamsherbaaz,Noshir Engineer,"Fearless Nadia, John Cawas, Habib, Shanti Madhok, Sardar Mansur","Action, Costume",Music: Shafi Nagri,,,,
Shikast,Ramesh Saigal,"Dilip Kumar, Nalini Jaywant, Durga Khote, Om Prakash, K. N. Singh",,"Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra",,,,
Shole,B. R. Chopra,"Ashok Kumar, Bina Rai, Purnima, Jeevan, Manmohan Krishna, Mirza Musharaf, Master Romi, Naaz","Family, Social, Drama","Music: Dhaniram, Naresh Bhattacharya Lyrics: Kamil Rashid, Saraswati Kumar Deepak, Sahir Ludhianvi, Majrooh Sultanpuri",,,,
Shuk Rambha,Dhirubhai Desai,"Nirupa Roy, Bharat Bhushan, Anjali Devi, Krishna Kumari, Raj Kumari, Niranjan Sharma, Ishwarlal, Lalita Pawar",Fantasy,Music: Manna Dey Lyrics: Bharat Vyas,,,,
Suhag Sindoor,Colin Pal,"Shyama, Asit Baran, Yashodara Katju, Lekha, Asit Sen","Family, Drama","Music: Shailesh Mukherjee, Suresh Kumar Lyrics: Bharat Vyas, Suresh Tripathi",,,,
Surang,V. Shantaram,"Vinod Kumar, Sheila Ramani, Shashikala, Keshavrao Date, Ulhas, Chandrashekhar, Vikas",Social,Music: Shivram Krishna Lyrics: Shewan Rizvi,,,,
Teen Batti Char Raasta,V. Shantaram,"Sandhya, Shashikala, Karan Dewan, Sheila Ramani, Smriti Biswas, Nirupa Roy, Keshavrao Date, Ishwarlal, Parshuram","Family, Drama, Social",Music: Shivram Krishna Lyrics: Pyarelal Santoshi,,,,
Thokar,Lekhraj Bhakri,"Shammi Kapoor, Shyama, Lalita Pawar, Ravindra Kapoor, Johnny Whiskey, Paro Devi",Social,"Music: Sardar Malik Lyrics: Raja Mehdi Ali Khan, Majaz Lucknavi, Prem Dhawan",,,,
