Black Tiger,Akkoo,"Nadira, Azad, Habib, Nazma",Action,"Music: Bulo C. Rani Lyrics: Tabish Kanpuri, Saba Afghani",,,,
Bombai Ka Babu,Raj Khosla,"Dev Anand, Suchitra Sen, Nazir Hussain, Achala Sachdev, Manohar Deepak","Crime, Drama","Music by S. D. Burman, Lyrics by Majrooh Sultanpuri",,,,
Bombay Central,R. K. Balam,"Samar Roy, Krishna Kumari",Action,"Music by Shyam Babu Pathak, Lyrics by R. K. Balam",,,,
Captain India,C. Kent,"Kamran, Mehmood, Krishna Kumari",Action,Music: Hemant Kedar Lyrics: Rajaram Saki,,,,
Chand Mere Aja,Ram Daryani,"Nanda, Bharat Bhushan, Lalita Pawar, Maruti","Drama, Social",Music by Chitragupta. Lyrics by Prem Dhawan,,,,
Chandramukhi,K. Thakur,"Manhar Desai, Kavita, B.M Vyas, Maruti","Romance, Costume, Drama",Music by S. N. Tripathi. Lyrics by Bharat Vyas,,,,
Chaudhvin Ka Chand,M. Sadiq,"Guru Dutt, Rehman, Waheeda Rehman, Johnny Walker","Romance, Social, Drama",Entered in the 2nd Moscow International Film Festival. Music: Ravi Lyrics: Shakeel Badayuni,,,,
Chhabili,Shobhna Samarth,"Nutan, Tanuja, Kaysi Mehra, Helen, K. N. Singh","Social, Drama","Music by Snehal Bhatkar, lyrics by S Ratan. Nutan sang ""ae mere humsafar"",
""Chhalia",Manmohan Desai,"Raj Kapoor, Nutan, Pran, Rehman, Shobhna Samarth",Social Romance,"Music: Kalyanji Anandji, assisted by Lakshmikant-Pyarelal. Lyrics by Qamar Jalalabadi"
College Girl,T. Prakash Rao,"Shammi Kapoor, Vyjayanthimala, Om Prakash, Tabassum, Nana Palsikar, Achala Sachdev","Romance, Drama",Music: Shankar Jaikishan Lyrics: Rajendra Krishan,,,,
Delhi Junction,Mohammed Hussain,"Ajit, Shakila, Nishi, Pran, Cuckoo","Action, Adventure",Music by Kalyanji Anandji. Lyrics by Gulshan Bawra,,,,
Dil Apna Aur Preet Parai,Kishore Sahu,"Raaj Kumar, Meena Kumari, Nadira, Tun Tun, Helen, Om Prakash","Romance, Drama","Music by Shankar-Jaikishen, lyrics by Shailendra. Famous song: Ajeeb Dastan Hai Yeh",,,,
Dil Bhi Tera Hum Bhi Tere,Arjun Hingorani,"Dharmendra, Arjun Hingorani, Balraj Sahni, Kumkum","Drama, Social","Music by Kalyanji Anandji, lyrics by Shamim Jaipuri, K L Pardesi. Debut movie of Dharmendra",,,,
Do Aadmi,Dwarka Khosla,"Jairaj, Shashikala, Jeevankala","Social, Drama","Music by S. N. Tripathi, lyrics by Prem Dhawan",,,,
Do Dost,K. Anand,"Kamran, Chitra, Mehmood, Helen","Social, Action","Music by S. Mohinder, lyrics by Bharat Vyas",,,,
Dr. Shaitan,Shriram Bohra,"Premnath, Shakila, Sheikh Mukhtar, Tiwari","Thriller, Action",Music by N. Datta. Lyrics by Jan Nisar Akhtar,,,,
Duniya Jhukti Hai,JBH Wadia,"Sunil Dutt, Shyama, Kumkum, Daisy Irani, Agha","Family, Social",Music: Hemant Kumar Lyrics:Rajendra Krishan,,,,
Eid Mubarak,Khwaja Ahmad Abbas,,"Children, Festival",Short Film category,,,,
Ek Ke Baad Ek,Raj Rishi,"Dev Anand, Tarla Mehta, Sharda, Prabhu Dayal","Family, Drama","Music by S. D. Burman, lyrics: Kaifi Azmi",,,,
Ek Phool Char Kaante,Bhappi Sonie,"Sunil Dutt, Waheeda Rehman, Johnny Walker, Gopi and Tun Tun.","Family, Comedy, Romance","Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,,,
Gambler,Dwarka Khosla,"Prem Nath, Shakila, Pran, K. N. Singh","Action, Thriller",Music: Chitragupta Lyrics: Prem Dhawan,,,,
Ghar Ki Laaj,Om Prakash,"Sohrab Modi, Nirupa Roy, Kumkum, Madan Puri","Family, Drama",Rajendra Krishan-Ravi,,,,
Ghunghat,Ramanand Sagar,"Bharat Bhushan, Leela Chitnis, Pradeep Kumar, Bina Rai, Asha Parekh, Helen, Rajendra Nath, Rehman, Agha","Family, Drama, Social",Music: Ravi Lyrics: Shakeel Badayuni,,,,
Girl Friend,Satyen Bose,"Waheeda Rehman, Kishore Kumar, Daisy Irani, Nazir Hussain, Bipin Gupta","Romance, Family, Social",Music: Hemant Kumar Lyrics: Sahir Ludhianvi,,,,
Hanuman Pathal Vijayam,,,,,,,,
Honeymoon,Lekhraj Bhakri,"Manoj Kumar, Sayeeda Khan, Vijaya Choudhury","Family, Drama",Music: Salil Chowdhury Lyrics: Shailendra,,,,
Hum Hindustani,Ram Mukherjee,"Sunil Dutt, Joy Mukherjee, Asha Parekh, Prem Chopra, Helen, Leela Chitnis, Sanjeev Kumar","Family, Social, Drama","Popular song: Chhodo Kal Ki Baaten, Kal Ki Baat Puraani Music: Usha Khanna Lyrics: Prem Dhawan",,,,
Jaali Note,Shakti Samanta,"Dev Anand, Madhubala, Om Prakash, Madan Puri, Helen","Crime, Social, Romance",Music: O P Nayyar Lyrics: Raja Mehdi Ali Khan,,,,
Jis Desh Men Ganga Behti Hai,Radhu Karmakar,"Raj Kapoor, Padmini, Pran, Lalita Pawar",Social,Music: Shankar Jaikishan Lyrics: Shailendra,,,,
Junglee,Subodh Mukherjee,"Shammi Kapoor, Saira Banu, Shashikala, Helen, Anoop Kumar, Azra, Lalita Pawar","Romance, Family, Drama",Music: Shankar Jaikishan Lyrics: Shailendra,,,,
Jo Huwa So Bhool Ja,Y. Pethkar,"Nanda, Shashikala, Raja Gosavi, Vivek, Nalini Chonkar",Social,Music: B N Bali Lyrics: Hari Malik,,,,
Kala Aadmi,Ved Madan,"Ashok Kumar, Shyama, Johnny Walker, Mehmood, Minu Mumtaz","Thriller, Drama",Music: Dattaram Wadkar Lyrics: Hasrat Jaipuri,,,,
Kala Bazar,Vijay Anand,"Dev Anand, Waheeda Rehman, Nanda, Vijay Anand, Chetan Anand, Madan Puri, Leela Chitnis, Helen","Romance, Drama",Music: S. D. Burman Lyrics: Shailendra,,,,
Kalpana,Rakhan,"Ashok Kumar, Padmini, Ragini, Iftekhar, Achala Sachdev","Drama, Romance","Music: O.P Nayyar Lyrics: Raja Mehendi Ali Khan, Qamar Jalalabadi, Jan Nissar Akhtar, Hasrat Jaipuri",,,,
Kanoon,B. R. Chopra,"Rajendra Kumar, Nanda, Ashok Kumar, Mehmood, Shashikala, Jeevan, Om Prakash","Crime, Drama",Music: Salil Choudhury There were no songs in the movie. B. R. Chopra won the Filmfare Award for Best Director (1962) for Kanoon,,,,
Kohinoor,S. U. Sunny,"Dilip Kumar, Meena Kumari, Jeevan, Mukri, Tun Tun, Leela Chitnis","Costume, Drama",Music: Naushad Lyrics: Shakeel Badayuni,,,,
Lady Of The Lake,A. M. Khan,"Nilima, Azad, Krishna Kumari","Costume, Thriller, Action","Music: Suresh Talwar Lyrics: Anjaan, Saba Afghani, Munshi Nayab",,,,
Lal Quila,Nanabhai Bhatt,"Jairaj, Nirupa Roy, Kumar, Helen, Kamal Kapoor","Historical, Musical, Romance","Music: S. N. Tripathi Lyrics: Bahadur Shah Zafar, Bharat Vyas",,,,
Love in Simla,R. K. Nayyar,"Joy Mukherjee, Sadhana, Shobhna Samarth, Durga Khote",Romance,Music: Iqbal Qureshi Lyrics: Rajendra Krishan,,,,
Maa Baap,V. M .Vyas,"Rajendra Kumar, Kamini Kaushal, Pran","Family, Social, Drama",Music: Chitragupta Lyrics: Rajendra Krishan,,,,
Manzil,Mandi Burman,"Dev Anand, Nutan, Krishan Dhawan, Achala Sachdev and K. N. Singh","Romance, Musical",Music: S.D. Burman Lyrics: Majrooh Sultanpuri,,,,
Masoom,Satyen Bose,"Ashok Kumar, Sarosh Irani, Honey Irani and Mohan Choti.","Family, Children","Screenwriter Ruby Sen won the Filmfare Award for Best Story. Nominated for Filmfare Award for Best Movie Music: Robin Banerjee, Hemant Kumar for Nani Teri Morni Ko Lyrics: Shailendra",,,,
Maya Machhendra,Babubhai Mistri,"Nirupa Roy, Manhar Desai, Raj Kumar","Mythology, Costume","Music: Ramlal-Heerapanna Lyrics: Pt. Madhur, Deepak, Keshav",,,,
Mehlon Ke Khwab,Muhafiz Haider,"Madhubala, Chanchal, Kishore Kumar, Pradeep Kumar, Om Prakash, Pran, K.N. Singh","Comedy, Suspense, Romance",Music: S. Mohinder Lyrics: Anand Bakshi,,,,
Mera Ghar Mere Bachche,Sohrab Modi,"Subiraj, Sohrab Modi, Soodesh Kumar, Naaz, Daisy Irani, Nana Palsikar, Sulochana","Family, Drama",Music: Sardar Malik Lyrics: Hasrat Jaipuri,,,,
Miss Goodnight,Jugal Kishore,"Nishi, Jairaj, Veena, Tiwari","Action, Romance",Music: Hansraj Behl Lyrics: Prem Dhawan,,,,
Mitti Mein Sona,Jugal Kishore,"Mala Sinha, Pradeep Kumar, Agha, Sabita Chatterjee","Social, Romance","Music: O. P. Nayyar Lyrics: Raja Mehdi Ali Khan, Qamar Jalalabadi, S. H. Bihari",,,,
Miyan Biwi Razi,Jyoti Swaroop,"Mehmood, Kamini Kadam, Shreekant Gaurab, Seema, Sabita Chatterjee, David, Manorama","Family, Social",Music: S. D. Burman Lyrics: Shailendra,,,,
Mohabbat Ki Jeet,B. S. Ranga,"Ranjan, Raja Sulochana, Sowcar Janaki, Cuckoo","Romance, Action, Costume",Music: Mohammed Shafi Lyrics: Shri Ram Saaz,,,,
Mud Mud Ke Na Dekh,Ramayan Tiwari,"Bharat Bhushan, Anita Guha, Mehmood, Jeevan, Prem Chopra, Helen","Romance, Social",Music: Hansraj Behl Lyrics: Prem Dhawan,,,,
Mughal-e-Azam,K. Asif,"Prithviraj Kapoor, Dilip Kumar, Madhubala, Durga Khote, Ajit, Jalal Agha","Historical, Costume, Romance","Music: Naushad Lyrics: Shakeel Badayuni. It won the National Film Award for Best Feature Film in Hindi. The film also won three Filmfare Awards: Best Film, Best Cinematography, and Best Dialogue",,,,
Nache Nagin Baje Been,Tara Harish,"Chandrashekhar, Kumkum, K. N. Singh, Sunder, Helen, Agha","Costume, Drama",Music: Chitragupta Lyrics: Majrooh Sultanpuri,,,,
Nai Maa,P. L. Santoshi,"Balraj Sahni, Shyama, Daisy Irani, Maruti, Sheela Kashmiri","Family, Drama",Music: Ravi Lyrics: Sarvar,,,,
Nakhrewali,N. Buli,"Daljeet, Radhika, Bhagwan","Romance, Social","Music: Chitragupta, Nirmal Kumar",,,,
Parakh,Bimal Roy,"Sadhana, Motilal, Durga Khote, Leela Chitnis, Nishi","Social, Satire, Drama",Music: Salil Choudhury Lyrics: Shailendra. Bimal Roy won the Filmfare Best Director Award, Motilal the Filmfare Best Supporting Actor Award and George D'Cruz the Filmfare Best Sound Award,,,
Patang,"Suraj Prakash, Hargovind Duggal","Mala Sinha, Rajendra Kumar, Achala Sachdev, Leela Mishra","Family, Drama, Crime",Music: Chitragupta Lyrics: Rajendra Krishan,,,,
Pedro,Akkoo,"Azad, Chitra, V M Vyas, Tiwari, Pedro:monkey",Action,Music: Bulo C. Rani Lyrics: Khawar Zamaa,,,,
Phool Aur Kaliyan,Ram Gabale,"Hemant, Nitin, Dattaram, Ramesh","Children, Social",Won the Gold Medal for best children's film at the National Awards. Music: Shivram Krishna Lyrics: Bharat Vyas,,,,
Police Detective,Nanubhai Bhatt,"Shyama, Soodesh Kumar, Jayshree Gadkar, Anwar, Shammi, David","Social, Action",Music: Chitragupta Lyrics: Majrooh Sultanpuri,,,,
Qatil,Mohammed Hussain,"Prem Nath, Chitra, Shyam Kumar, Kamal Mehra",Action,"Music: Nashad (Shaukat Ali Dehlavi) Lyrics: Khumar Barabankvi, Faruk Kaiser",,,,
Rangeela Raja,Ismail,"Mahipal, Shashikala, Kumkum, Bhagwan",,Music: Pandit Shivram Lyrics: Asad Bhopali,,,,
Return of Mr. Superman,Manmohan Sabir,"Jairaj, Sheila Ramani, Shammi, Majnu, Helen, David",Action,"Music: Anil Biswas Lyrics: Manmohan Sabir, Pyarelal Santoshi, Kaif Irfani",,,,
Road No. 303,Dharam Kumar,"Mehmood, Shubha Khote, Bhagwan, K. N. Singh",Action,Music: C. Arjun Lyrics: Jan Nisar Akhtar,,,,
Saranga,Dhirubhai Desai,"Soodesh Kumar, Jayshree Gadkar, Nilofar, Jankidas. B. M. Vyas",Drama,Music: Sardar Malik Lyrics: Bharat Vyas,,,,
Sarhad,Shanker Mukerji,"Dev Anand, Suchitra Sen, Ragini, Anwar Hussein, Lalita Pawar, Dhumal","Social, Romance, Drama",Music: C. Ramchandra Lyrics: Majrooh Sultanpuri,,,,
Shan-e-Hind (1960)Shan-e-Hind,Mohan Sinha,"Nigar Sultana, Daljeet, Kumkum","Action, Costume",Music: Sudipto Bannerjee Lyrics: Pratap,,,,
Shriman Satyawadi,S. M. Abbas,"Raj Kapoor, Shakila, Mehmood, Nasir Hussain","Social, Drama","Music: Dattaram Lyrics: Hasrat Jaipuri, Gulzar, Gulshan Bawra",,,,
Singapore,Shakti Samanta,"Shammi Kapoor, Padmini, Maria Menado, Shashikala, Helen","Thriller, Romance","Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,,,
Superman,"Mohammed Hussain, Anant Thakur","Jairaj, Nirupa Roy, Helen, Neeta",Action,Music: Sardar Malik Lyrics: Prem Dhawan,,,,
Teer Aur Talwar,Mohamed Hussain,"Kamran, Kamal Mehra, Rajan Kapoor","Action, Drama",Music: Nisar Lyrics: Faruk Kaiser,,,,
Trunk Call,Balraj Mehta,"Shyama, Abhi Bhattacharya, Pran, Helen, Shammi","Action, Drama",Music: Ravi Lyrics: Qamar Jalalabadi,,,,
Tu Nahin Aur Sahi,Brij,"Pradeep Kumar, Kumkum, Nishi, Ratan Kumar, Minoo Mumtaz","Social, Romance",Music: Ravi Lyrics: Majrooh Sultanpuri,,,,
Usne Kaha Tha,Moni Bhattacharjee,"Sunil Dutt, Nanda, Indrani Mukherjee, Rajendra Nath, Durga Khote","Romance, Drama, War",Music: Salil Chowdhury Lyrics: Shailendra,,,,
Veer Durgadas,Ramchandra Thakur,"Jairaj, Nirupa Roy, B. M. Vyas, Manhar Desai","Historical, Social, Drama",Music: S. N. Tripathi Lyrics: Bharat Vyas,,,,
Veer Purush,Phani Mazumdar,,"Children, Social",Based on a poem by Rabindranath Tagore,,,,
Zalim Tera Jawab Nahin,Ramanlal Desai,"Chitra, Azad, Agha, Saroj Khan",Action,"Music: S. D. Batish Lyrics: Shadab, Farid Tonki, Aziz Siddiqui",,,,
Zameen Ke Tare,Chandulal J. Shah,"Daisy Irani, Honey Irani, Motilal, Achala Sachdev, Anwar, Kumud Tripathi, Agha, Charlie, Bhagwan","Social, Children, Drama",Music: S. Mohinder Lyrics: Pandit Madhur,,,,
Zimbo Comes To Town (Zimbo Shaher Mein),Nanubhai Bhatt,"Azad, Chitra, Shammi, Bhagwan, Nilofar",Action,Music: Chitragupta Lyrics: Prem Dhawan,,,,
