Title,Director,Cast,Genre,"Notes
Cinematographer"
Kacha Devyani a.k.a. Vidhyaharan,Shree Nath Patankar,"K. B. Athavale, Thatte, Bhonsle",Mythology,"Pioneer Film Co.
DOP: Shree Nath Patankar"
Kalabaaz Ashaq a.k.a. Wooing Tactics,V. K. Pattani,"Dorothy, Batukbhai, Shanta, Allarakha Mir Nathalal Soni, Monghibai, Gatubhai Vaidya, Mavji Muflis",Social,"Saurashtra Kinematograph Co
DOP: Champaklal Pattani"
Kashmeera a.k.a. Enemy's Daughter,Manilal Joshi,"Zubeida, Madanrai Vakil, W. M. Khan",Costume,"Excelsior Film Company.
DOP: D. D. Dabke"
Kataryu Gap,Dinshaw Zhaveri,Madanrai Vakil,Social,"Royal Art Studio.
DOP: A. P. Karandikar"
Keechak Vadh,G. V. Sane,"Bhaurao Datar, Yamuna Gole, Bachu",Mythology,"Hindustan Cinema Film Co., Nasik.
DOP: Anna Salunke"
Lakho Vanjaro,Homi Master,"Jamuna, Gohar, Khalil",Legend,"Kohinoor Film Company
DOP: K. G. Gokhale"
Lion Of Mewar a.k.a. Diwan Bhamansha,M. D. Bhavnani,"Elizer, Putli, Jilloobai, Madanrai Vakil",Historical,Imperial Film Company
Love Is Blind a.k.a. Raja Ne Gami Te Rani,Kanjibhai Rathod,"Ermeline, Gulab",Social,"Krishna Fil Company.
DOP: Chimanlal Luhar"
Madan Kala,Harihar Diwana,"Master Vithal, Tara, Jani Babu, Miss Mary, Asha",Fantasy,"Sharda Film Company.
DOP: Naval Bhatt"
Madhav Kam Kundala,Chandulal Shah,"Raja Sandow, Putli, Miss Fiske, Blanche Verni",Legend,"Lakshmi Pictures.
DOP: D. D. Dabke"
Manovijaya,Shree Nath Patankar,"K. B. Athavale, Nargis, Takle",,Pioneer Film Co. Shree Nath Patankar
Marriage Market a.k.a. Lagn Ke Lilam,Bachoo Babu,"Moti, Usha Rani, Siddimiya",Social,"Kohinoor Film Company
DOP: K. G. Gokhale"
Mena Kumari,M. D. Bhavnani,"Gohar, Raja Sandow, Vaidya, Ghanashyam",Costume,"Kohinoor Film Company
DOP: Vishnu B. Joshi"
Midnight Rider a.k.a. Pahadi Pindharo,Bhagwati Mishra,"Madanrai Vakil, Putli, Miss Jean, Jilloobai, Rajhans",Costume,"Imperial Film Company.
DOP: A. P. Karandikar"
Moon Cursed By Ganpati a.k.a. Chaturthicha Chandra,Dadasaheb Phalke,"Bhaurao Datar,",Mythology,"Hindustan Cinema Film Co., Nasik.
DOP: Telang"
Mohini Avatar a.k.a. Mohini Incarnation Of God a.k.a. Samudra Manthan,Raghupathy S. Prakasa,,Mythology,"Star Of The East Film Co., Madras"
Mumtaz Mahal,Homi Master,"Raja Sandow, Sulochana, Gohar, Siddimiya",Historical,"Kohinoor Film Company
DOP: Narayan Devare"
Neera a.k.a. Beautiful Snake Of Aravali,"Rama Chowdhury, R. G. Torney","Raja Sandow, Zubeida, Madanrai Vakil, Baba Vyas, Putli, Ghory, Dabir, K. B. Athavale",Fantasy,"Lakshmi Pictures.
DOP: Pandurang Naik"
Pagal Premi a.k.a. Girl Mad,M. D. Bhavnani,"Sulochana, Madanrai Vakil, M. D. Bhavnani",Social,"Imperial Film Company.
DOP: Adi Irani"
Panna Ratna a.k.a. Jewel Of Mewar,Harshadrai Mehta,"Fatma Begum, Nandram, Gangaram, Miss Fayma, Master Kamlakar",Legend,"Krishna Film Company.
DOP: Chaturbhai Patel"
Prahlad a.k.a. Worshipper Prahlad a.k.a. Bhakta Prahlad,Baburao Painter,"V. Shantaram, Kamladevi, Balasaheb Yadav, Gulabbai, Bal Kelkar, Padmabai, G. R. Mane",Mythology,"Maharashtra Film Company.
DOP: S. Fattelal"
Profulla a.k.a. Prafulla,Jyotish Bannerji,"Patience Cooper, Satyen Dey, Dadibhai Sarkari",Social,Madan Theatres Ltd
Punch Mahabhuta,"Homi Master, Dr. Alvaro",,Social,Pioneer Film Company
Pyari Mamta,Bhagwati Mishra,"Madanrai Vakil, Putli, Jilloobai",Social,Imperial Film Company.
Radha Madhav,K. P. Bhave,"Elizer, Madanrai Vakil, Jilloobai, Baburao Sansare, Dwarki, Asooji",Religious,"Royal Art Studio.
DOP: Rustom Irani"
Raja Bhoj a.k.a. Man And His Destiny a.k.a. Trial Of Destiny,Dinshaw J. Jhaveri,"Zubeida, Madanrai Vakil, Jilloobai, Saku","Legend, Historical","Royal Art Studio.
DOP: Rustom Irani"
Ra Kawat a.k.a. Pranay Milan,M. D. Bhavnani,"Raja Sandow, Ghanashyam, Sulochana (Ruby Myers), Gohar",Historical,"Kohinoor Film Company, Saraswati Film Company.
DOP: Vishnu B. Joshi"
Ram Bharose a.k.a. Perchance,Harshadrai Mehta,"Ermeline, Gulab, Nandram, Prabhudas, Durga, Kusum Kumari",Social,"Krishna Film Company
DOP: Chimanlal Luhar"
Ram Rajya Vijay a.k.a. The Triumph Of Lord Rama,Dadasaheb Phalke,,Religious,"Hindustan Cinema Film Co., Nasik"
Ramrajya Vijay,G. V. Sane,,Religious,"Hindustan Cinema Film Co., Nasik"
Ratan Manjari a.k.a. Ratna Manjari,Manilal Joshi,"Master Vithal, Miss Mary",,"Sharda Film Company.
DOP: Naval Bhat"
Samrat Shiladitya a.k.a. Greatest Sacrifice,M. D. Bhavnani,"Raja Sandow, Sulochana (Ruby Myers), Gohar, Moti",Historical,"Kohinoor Film Company, Saraswati Film Company.
DOP: D. D. Dabke"
Sant Eknath a.k.a. Saint Of Paithan,Dadasaheb Phalke,"Bhaurao Datar, Gotiram",Devotional,"Hindustan Cinema Film Co., Nasik
DOP: Anna Salunke"
Sarkari Praser,Baburao Painter,,,
Sati Jasma a.k.a. Jasma Odan,Homi Master,"Gohar, Khalil, Jumuna, Noor Mohammed Charlie, R. N. Vaidya, Ghanshyam",Devotional,"Kohinoor Film Company
DOP: Gajanan S. Deware"
Sati Menadevi a.k.a. Costly Couplet,P. J. Jhaveri,"Zubeida, Madanrai Vakil, Udvadia, Jilloobai",Legend,Royal Art Studio.
Sati Saroj a.k.a. Shiyal Ni Kasoti,,"Elizer, Madanrai Vakil, Jilloobai","Devotional, Legend",Saraswati Film Company
Satyavijaya a.k.a. The Triumph Of Youth,Shree Nath Patankar,"Keshav Narayan Kale, K. B. Athavale, Thatte",Social,"Pioneer Film Company
DOP: Shree Nath Patankar"
Saurashtra Veer,Nanubhai Desai,"Parshwanath Yeshwant Altekar, Amir Banu",Costume,"Sharda Film Company
DOP: Bhogilal Dave"
Shah-E-Jungle a.k.a. King Of Forest,K. P. Bhave,"Madanrai Vakil, Jilloobai, Bhagwati Mishra, M. Udwadia","Action, Costume","Royal Art Studio.
DOP: Rustom Irani"
Sheesh Mahal,Bhagwati Mishra,"Elizer, Madanrai Vakil, Jilloobai, Bhagwati Mishra",Costume,"Royal Art Studio.
DOP: Rustom Irani"
Shirin Farhad a.k.a. At The Altar Of Love,Homi Master,"Gohar, Khalil, Jumuna, Noor Mohammed Charlie, Daji, Heera","Legend, Romance",Kohinoor Film Company
Slaves Of Custom,Bhagwati Mishra,"Madanrai Vakil, Jilloobai, Bhagwati Mishra",Social,"Royal Art Studio.
DOP: Rustom Irani"
Society Butterfly a.k.a. Khubsurat Bala,Kanjibhai Rathod,"Fatma Begum, Ermeline, Nandram, Gulab, Haider Shah, Vishnu, Joshi",Costume,"Krishna Film Company
DOP: Chaturbhai Patel"
Sweet Adversity a.k.a. Panima Aag,Nagendra Majumdar,"Madanrai Vakil, Jilloobai, Putli, Miss Jainu",Fantasy,"Royal Art Studio.
DOP: Rustom Irani"
Tai Teleen a.k.a. Tayi Teleen,N. D. Sarpotdar,"D. Bilimoria, Durga, Bapu Gokhale, Gangu",Historical,"United Pictures Syndicate
DOP: Pandurang Talegiri"
Telephone Girl,M. D. Bhavnani,,,
The Pretender a.k.a. Totayache Bund,N. D. Sarpotdar,"Bandopant Sohoni, Wamanrao Kulkarni, Durgabai Koregaonkar, P. N. Varne, Dattoba Rajwade, D. N. Potdar",Historical,"United Pictures Syndicate
DOP: Pandurang Talegiri"
The Telephone Girl a.k.a. Telephone Ni Taruni,Homi Master,"Sulochana (Ruby Myers), Raja Sandow, Gohar, Khalil, Jumuna",Social,"Kohinoor Film Company
DOP: Narayan Deware"
The Vamp a.k.a. Yauvan Chakra,Naval Gandhi,Miss Yakbal,Social,"Sharda Film Company
DOP: Naval Bhat"
The Victim a.k.a. Bhool No Bhog,Harshadrai Mehta,"Ermeline, Gulab, Nandram, Prabhudas",Social,"Krishna Film Company
DOP: Chimanlal Luhar"
Typist Girl a.k.a. Why I Became A Christian,Chandulal Shah,"Sulochana (Ruby Myers), Raja Sandow, Gohar",Social,"Kohinoor Film Company
DOP: Narayan Deware"
Vanthel Veshya a.k.a. Flirting Widow a.k.a. Vanthel Vidhwa,K. P. Bhave,"Madanrai Vakil, Jilloobai","Action, Costume","Royal Art Studio.
DOP: Rustom Irani"
Vasant Bala,Nanubhai B. Desai,"Miss Jones, Master Vithal",Costume,"Sharda Film Company.
DOP: Naval Bhat"
Veer Kesari a.k.a. Brave Kesari,Kanjibhai Rathod,"Ermeline, Gulab, Haider Shah, Nandram, Vishnu, Joshi",Costume,"Krishna Film Company
DOP: Chaturbhai Patel"
Wandering Phantom a.k.a. Bhamto Bhoot,M. D. Bhavnani,"Sulochana (Ruby Myers), Khalil, R. N. Vaidya, Behram Vasania",Fantasy,"Kohinoor Film Company
DOP: Narayan Deware"
Way Of The World a.k.a. Dagabaaz Duniya,Harihar Diwana,"Miss Jones, Amir Banu, Yakbal",Social,"Sharda Film Company.
DOP: Cimanlal Luhar"
